filename,monument_name,datetime,caption,include,exclude_reason,section,orientation,cover_candidate,docushare_url
"Acton-Concord Powder Mill Road (Rte 62), 2025-04-23 15-26, Context view of town line sign just beyond steel pipe and possible marker.jpg",Acton/Concord Powder Mill Road (Rte 62),2025-04-23 15-26,Context view of town line sign just beyond steel pipe and possible marker,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99054/Acton-Concord Powder Mill Road (Rte 62)%2c 2025-04-23 15-26%2c Context view of town line sign just beyond steel pipe and possible marker.jpg
"Acton-Concord Rte 2, 2025-04-23 16-31, Ribbons but no town marks.jpg",Acton/Concord Rte 2,2025-04-23 16-31,Ribbons but no town marks,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99055/Acton-Concord Rte 2%2c 2025-04-23 16-31%2c Ribbons but no town marks.jpg
"Acton-Concord Rte 2, 2025-04-23 16-32, Ribbons but no town marks.jpg",Acton/Concord Rte 2,2025-04-23 16-32,Ribbons but no town marks,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99056/Acton-Concord Rte 2%2c 2025-04-23 16-32%2c Ribbons but no town marks.jpg
"Acton-Concord Rte 2, 2025-04-23 16-35, This dammed up area is near the border.jpg",Acton/Concord Rte 2,2025-04-23 16-35,This dammed up area is near the border,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99057/Acton-Concord Rte 2%2c 2025-04-23 16-35%2c This dammed up area is near the border.jpg
"Acton-Concord Rte 2, 2025-04-23 16-39, Another promising marker.jpg",Acton/Concord Rte 2,2025-04-23 16-39,Another promising marker,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99058/Acton-Concord Rte 2%2c 2025-04-23 16-39%2c Another promising marker.jpg
"Acton-Concord Rte 2, 2025-04-23 16-40, Another miss..jpg",Acton/Concord Rte 2,2025-04-23 16-40,Another miss.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99059/Acton-Concord Rte 2%2c 2025-04-23 16-40%2c Another miss..jpg
"Acton-Concord Spencer Brook Road, 2025-03-25 11-32, 2.jpg",Acton/Concord Spencer Brook Road,2025-03-25 11-32,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99060/Acton-Concord Spencer Brook Road%2c 2025-03-25 11-32%2c 2.jpg
"Acton-Concord Spencer Brook Road, 2025-03-25 11-32.jpg",Acton/Concord Spencer Brook Road,2025-03-25 11-32,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99061/Acton-Concord Spencer Brook Road%2c 2025-03-25 11-32.jpg
"Acton-Concord Spencer Brook Road, 2025-03-25 11-33, Context from across Spencer Brook Road.jpg",Acton/Concord Spencer Brook Road,2025-03-25 11-33,Context from across Spencer Brook Road,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99062/Acton-Concord Spencer Brook Road%2c 2025-03-25 11-33%2c Context from across Spencer Brook Road.jpg
"Acton-Concord Spencer Brook Road, 2025-06-30 13-56, 2.jpg",Acton/Concord Spencer Brook Road,2025-06-30 13-56,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99063/Acton-Concord Spencer Brook Road%2c 2025-06-30 13-56%2c 2.jpg
